integration_dfb,batch,apa,pde,excluded_channels
0.0,1,1,0.45,"[10512, 10710, 10506, 10700, 10521, 10515]"
0.0,1,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911, 10905, 10902, 10915, 10946, 10933]"
0.0,1,3,0.45,"[11131, 11101, 11115, 11104]"
0.0,1,4,0.45,"[11233, 11300, 11305, 11211, 11307, 11222]"
0.0,2,1,0.45,"[10512, 10700, 10702, 10705, 10707, 10710, 10712, 10715, 10717, 10500, 10521]"
0.0,2,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911, 10907, 10933]"
0.0,2,3,0.45,"[11131, 11115]"
0.0,2,4,0.45,"[11307, 11211, 11233, 11300, 11222]"
0.0,3,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
0.0,3,3,0.45,"[11131, 11115]"
0.0,3,4,0.45,"[11233, 11211, 11235, 11300, 11305, 11307, 11222]"
0.0,4,1,0.45,"[10512, 10717, 10715, 10712, 10710, 10700, 10702, 10705, 10707, 10500, 10521, 10517, 10504]"
0.0,4,2,0.45,"[10933, 10913, 10914, 10916, 10917, 10910, 10911, 10907, 10905, 10901]"
0.0,4,3,0.45,[11131]
0.0,4,4,0.45,"[11211, 11300, 11302, 11305, 11222, 11233, 11307]"
0.0,5,1,0.45,"[10512, 10717, 10715, 10712, 10710, 10700, 10702, 10705, 10707, 10506, 10500, 10521, 10515]"
0.0,5,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911, 10901]"
0.0,5,3,0.45,"[11131, 11115]"
0.0,5,4,0.45,"[11211, 11305, 11222, 11233, 11300, 11307]"
0.0,6,3,0.45,"[11131, 11115]"
0.0,6,4,0.45,"[11211, 11305, 11307, 11222, 11233, 11300, 11302]"
0.0,7,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911, 10943, 10944, 10946, 10931, 10905, 10901, 10904, 10915]"
0.0,7,3,0.45,"[11131, 11115]"
0.0,7,4,0.45,"[11211, 11305, 11307, 11222, 11233, 11300, 11302]"
0.1,1,1,0.45,"[10512, 10710, 10506, 10700]"
0.1,1,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911, 10905, 10902, 10915, 10946]"
0.1,1,3,0.45,"[11131, 11101, 11115]"
0.1,1,4,0.45,"[11233, 11300, 11305, 11211, 11307, 11222]"
0.1,2,1,0.45,"[10512, 10700, 10702, 10705, 10707, 10710, 10712, 10715, 10717]"
0.1,2,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
0.1,2,3,0.45,"[11131, 11115]"
0.1,2,4,0.45,"[11307, 11211, 11233]"
0.1,3,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
0.1,3,3,0.45,"[11131, 11115]"
